,BaseMortRate
"(1, 19)",0.012798008
"(2, 12)",0.009714406
"(2, 13)",0.010772327
"(2, 19)",0.013683783
"(2, 20)",0.014466388
"(3, 12)",0.010746066
"(3, 13)",0.012842609
"(3, 19)",0.017416618
"(3, 20)",0.017438498
"(4, 10)",0.010191791
"(4, 11)",0.012880043
"(4, 12)",0.014232534
"(4, 13)",0.012792335
"(4, 14)",0.011354615
"(4, 15)",0.015415581
"(4, 16)",0.015030344
"(4, 17)",0.015182029
"(4, 18)",0.014450518
"(4, 19)",0.016932203
"(4, 20)",0.015095663
"(5, 7)",0.014055805
"(5, 8)",0.013932236
"(5, 9)",0.012477612
"(5, 10)",0.010838459
"(5, 11)",0.013812877
"(5, 12)",0.018061046
"(5, 13)",0.013501054
"(5, 14)",0.016729424
"(5, 15)",0.018051499
"(5, 16)",0.016531615
"(5, 17)",0.016531028
"(5, 18)",0.017008801
"(5, 19)",0.015960298
"(5, 20)",0.015840759
"(6, 4)",0.010577472
"(6, 5)",0.011534444
"(6, 6)",0.012497665
"(6, 7)",0.012651679
"(6, 8)",0.015111715
"(6, 9)",0.013942227
"(6, 10)",0.015073972
"(6, 11)",0.015847504
"(6, 12)",0.017606616
"(6, 13)",0.011722097
"(6, 14)",0.01846423
"(6, 15)",0.018755624
"(6, 16)",0.018435044
"(6, 17)",0.017608532
"(6, 18)",0.013460394
"(6, 19)",0.015610373
"(6, 20)",0.014805839
"(6, 21)",0.01438618
"(7, 3)",0.010612218
"(7, 4)",0.012389611
"(7, 5)",0.012817509
"(7, 6)",0.013014701
"(7, 7)",0.015952997
"(7, 8)",0.012647965
"(7, 9)",0.012736418
"(7, 10)",0.012097453
"(7, 11)",0.014929953
"(7, 12)",0.020111816
"(7, 13)",0.017320395
"(7, 14)",0.018266596
"(7, 15)",0.016790729
"(7, 16)",0.016889131
"(7, 17)",0.016153605
"(7, 18)",0.01552644
"(7, 19)",0.016147726
"(7, 20)",0.01433195
"(7, 21)",0.014062081
"(7, 22)",0.013173535
