ROW,COL,geom,Northeast,Midwest,South,West
1,19,"POLYGON ((-83.75 22.73695, -83.75 24.63165, -81.25 24.63165, -81.25 22.73695, -83.75 22.73695))",0.0,0.0,1.0,0.0
2,12,"POLYGON ((-101.25 24.63165, -101.25 26.52635, -98.75 26.52635, -98.75 24.63165, -101.25 24.63165))",0.0,0.0,1.0,0.0
2,13,"POLYGON ((-98.75 24.63165, -98.75 26.52635, -96.25 26.52635, -96.25 24.63165, -98.75 24.63165))",0.0,0.0,1.0,0.0
2,19,"POLYGON ((-83.75 24.63165, -83.75 26.52635, -81.25 26.52635, -81.25 24.63165, -83.75 24.63165))",0.0,0.0,1.0,0.0
2,20,"POLYGON ((-81.25 24.63165, -81.25 26.52635, -78.75 26.52635, -78.75 24.63165, -81.25 24.63165))",0.0,0.0,1.0,0.0
3,12,"POLYGON ((-101.25 26.52635, -101.25 28.42105, -98.75 28.42105, -98.75 26.52635, -101.25 26.52635))",0.0,0.0,1.0,0.0
3,13,"POLYGON ((-98.75 26.52635, -98.75 28.42105, -96.25 28.42105, -96.25 26.52635, -98.75 26.52635))",0.0,0.0,1.0,0.0
3,19,"POLYGON ((-83.75 26.52635, -83.75 28.42105, -81.25 28.42105, -81.25 26.52635, -83.75 26.52635))",0.0,0.0,1.0,0.0
3,20,"POLYGON ((-81.25 26.52635, -81.25 28.42105, -78.75 28.42105, -78.75 26.52635, -81.25 26.52635))",0.0,0.0,1.0,0.0
4,10,"POLYGON ((-106.25 28.42115, -106.25 30.31585, -103.75 30.31585, -103.75 28.42115, -106.25 28.42115))",0.0,0.0,1.0,0.0
4,11,"POLYGON ((-103.75 28.42115, -103.75 30.31585, -101.25 30.31585, -101.25 28.42115, -103.75 28.42115))",0.0,0.0,1.0,0.0
4,12,"POLYGON ((-101.25 28.42115, -101.25 30.31585, -98.75 30.31585, -98.75 28.42115, -101.25 28.42115))",0.0,0.0,1.0,0.0
4,13,"POLYGON ((-98.75 28.42115, -98.75 30.31585, -96.25 30.31585, -96.25 28.42115, -98.75 28.42115))",0.0,0.0,1.0,0.0
4,14,"POLYGON ((-96.25 28.42115, -96.25 30.31585, -93.75 30.31585, -93.75 28.42115, -96.25 28.42115))",0.0,0.0,1.0,0.0
4,15,"POLYGON ((-93.75 28.42115, -93.75 30.31585, -91.25 30.31585, -91.25 28.42115, -93.75 28.42115))",0.0,0.0,1.0,0.0
4,16,"POLYGON ((-91.25 28.42115, -91.25 30.31585, -88.75 30.31585, -88.75 28.42115, -91.25 28.42115))",0.0,0.0,1.0,0.0
4,17,"POLYGON ((-88.75 28.42115, -88.75 30.31585, -86.25 30.31585, -86.25 28.42115, -88.75 28.42115))",0.0,0.0,1.0,0.0
4,18,"POLYGON ((-86.25 28.42115, -86.25 30.31585, -83.75 30.31585, -83.75 28.42115, -86.25 28.42115))",0.0,0.0,1.0,0.0
4,19,"POLYGON ((-83.75 28.42115, -83.75 30.31585, -81.25 30.31585, -81.25 28.42115, -83.75 28.42115))",0.0,0.0,1.0,0.0
4,20,"POLYGON ((-81.25 28.42115, -81.25 30.31585, -78.75 30.31585, -78.75 28.42115, -81.25 28.42115))",0.0,0.0,1.0,0.0
5,7,"POLYGON ((-113.75 30.31585, -113.75 32.21055, -111.25 32.21055, -111.25 30.31585, -113.75 30.31585))",0.0,0.0,0.0,1.0
5,8,"POLYGON ((-111.25 30.31585, -111.25 32.21055, -108.75 32.21055, -108.75 30.31585, -111.25 30.31585))",0.0,0.0,0.0,1.0
5,9,"POLYGON ((-108.75 30.31585, -108.75 32.21055, -106.25 32.21055, -106.25 30.31585, -108.75 30.31585))",0.0,0.0,0.6741375169906001,0.3258624830093999
5,10,"POLYGON ((-106.25 30.31585, -106.25 32.21055, -103.75 32.21055, -103.75 30.31585, -106.25 30.31585))",0.0,0.0,0.6741375169906001,0.3258624830093999
5,11,"POLYGON ((-103.75 30.31585, -103.75 32.21055, -101.25 32.21055, -101.25 30.31585, -103.75 30.31585))",0.0,0.0,0.6741375169906001,0.3258624830093999
5,12,"POLYGON ((-101.25 30.31585, -101.25 32.21055, -98.75 32.21055, -98.75 30.31585, -101.25 30.31585))",0.0,0.0,1.0,0.0
5,13,"POLYGON ((-98.75 30.31585, -98.75 32.21055, -96.25 32.21055, -96.25 30.31585, -98.75 30.31585))",0.0,0.0,1.0,0.0
5,14,"POLYGON ((-96.25 30.31585, -96.25 32.21055, -93.75 32.21055, -93.75 30.31585, -96.25 30.31585))",0.0,0.0,1.0,0.0
5,15,"POLYGON ((-93.75 30.31585, -93.75 32.21055, -91.25 32.21055, -91.25 30.31585, -93.75 30.31585))",0.0,0.0,1.0,0.0
5,16,"POLYGON ((-91.25 30.31585, -91.25 32.21055, -88.75 32.21055, -88.75 30.31585, -91.25 30.31585))",0.0,0.0,1.0,0.0
5,17,"POLYGON ((-88.75 30.31585, -88.75 32.21055, -86.25 32.21055, -86.25 30.31585, -88.75 30.31585))",0.0,0.0,1.0,0.0
5,18,"POLYGON ((-86.25 30.31585, -86.25 32.21055, -83.75 32.21055, -83.75 30.31585, -86.25 30.31585))",0.0,0.0,1.0,0.0
5,19,"POLYGON ((-83.75 30.31585, -83.75 32.21055, -81.25 32.21055, -81.25 30.31585, -83.75 30.31585))",0.0,0.0,1.0,0.0
5,20,"POLYGON ((-81.25 30.31585, -81.25 32.21055, -78.75 32.21055, -78.75 30.31585, -81.25 30.31585))",0.0,0.0,1.0,0.0
6,4,"POLYGON ((-121.25 32.21055, -121.25 34.10525, -118.75 34.10525, -118.75 32.21055, -121.25 32.21055))",0.0,0.0,0.0,1.0
6,5,"POLYGON ((-118.75 32.21055, -118.75 34.10525, -116.25 34.10525, -116.25 32.21055, -118.75 32.21055))",0.0,0.0,0.0,1.0
6,6,"POLYGON ((-116.25 32.21055, -116.25 34.10525, -113.75 34.10525, -113.75 32.21055, -116.25 32.21055))",0.0,0.0,0.0,1.0
6,7,"POLYGON ((-113.75 32.21055, -113.75 34.10525, -111.25 34.10525, -111.25 32.21055, -113.75 32.21055))",0.0,0.0,0.0,1.0
6,8,"POLYGON ((-111.25 32.21055, -111.25 34.10525, -108.75 34.10525, -108.75 32.21055, -111.25 32.21055))",0.0,0.0,0.0,1.0
6,9,"POLYGON ((-108.75 32.21055, -108.75 34.10525, -106.25 34.10525, -106.25 32.21055, -108.75 32.21055))",0.0,0.0,0.0,1.0
6,10,"POLYGON ((-106.25 32.21055, -106.25 34.10525, -103.75 34.10525, -103.75 32.21055, -106.25 32.21055))",0.0,0.0,0.0,1.0
6,11,"POLYGON ((-103.75 32.21055, -103.75 34.10525, -101.25 34.10525, -101.25 32.21055, -103.75 32.21055))",0.0,0.0,0.6741375169906001,0.3258624830093999
6,12,"POLYGON ((-101.25 32.21055, -101.25 34.10525, -98.75 34.10525, -98.75 32.21055, -101.25 32.21055))",0.0,0.0,1.0,0.0
6,13,"POLYGON ((-98.75 32.21055, -98.75 34.10525, -96.25 34.10525, -96.25 32.21055, -98.75 32.21055))",0.0,0.0,1.0,0.0
6,14,"POLYGON ((-96.25 32.21055, -96.25 34.10525, -93.75 34.10525, -93.75 32.21055, -96.25 32.21055))",0.0,0.0,1.0,0.0
6,15,"POLYGON ((-93.75 32.21055, -93.75 34.10525, -91.25 34.10525, -91.25 32.21055, -93.75 32.21055))",0.0,0.0,1.0,0.0
6,16,"POLYGON ((-91.25 32.21055, -91.25 34.10525, -88.75 34.10525, -88.75 32.21055, -91.25 32.21055))",0.0,0.0,1.0,0.0
6,17,"POLYGON ((-88.75 32.21055, -88.75 34.10525, -86.25 34.10525, -86.25 32.21055, -88.75 32.21055))",0.0,0.0,1.0,0.0
6,18,"POLYGON ((-86.25 32.21055, -86.25 34.10525, -83.75 34.10525, -83.75 32.21055, -86.25 32.21055))",0.0,0.0,1.0,0.0
6,19,"POLYGON ((-83.75 32.21055, -83.75 34.10525, -81.25 34.10525, -81.25 32.21055, -83.75 32.21055))",0.0,0.0,1.0,0.0
6,20,"POLYGON ((-81.25 32.21055, -81.25 34.10525, -78.75 34.10525, -78.75 32.21055, -81.25 32.21055))",0.0,0.0,1.0,0.0
6,21,"POLYGON ((-78.75 32.21055, -78.75 34.10525, -76.25 34.10525, -76.25 32.21055, -78.75 32.21055))",0.0,0.0,1.0,0.0
7,3,"POLYGON ((-123.75 34.10535, -123.75 36.00005, -121.25 36.00005, -121.25 34.10535, -123.75 34.10535))",0.0,0.0,0.0,1.0
7,4,"POLYGON ((-121.25 34.10535, -121.25 36.00005, -118.75 36.00005, -118.75 34.10535, -121.25 34.10535))",0.0,0.0,0.0,1.0
7,5,"POLYGON ((-118.75 34.10535, -118.75 36.00005, -116.25 36.00005, -116.25 34.10535, -118.75 34.10535))",0.0,0.0,0.0,1.0
7,6,"POLYGON ((-116.25 34.10535, -116.25 36.00005, -113.75 36.00005, -113.75 34.10535, -116.25 34.10535))",0.0,0.0,0.0,1.0
7,7,"POLYGON ((-113.75 34.10535, -113.75 36.00005, -111.25 36.00005, -111.25 34.10535, -113.75 34.10535))",0.0,0.0,0.0,1.0
7,8,"POLYGON ((-111.25 34.10535, -111.25 36.00005, -108.75 36.00005, -108.75 34.10535, -111.25 34.10535))",0.0,0.0,0.0,1.0
7,9,"POLYGON ((-108.75 34.10535, -108.75 36.00005, -106.25 36.00005, -106.25 34.10535, -108.75 34.10535))",0.0,0.0,0.0,1.0
7,10,"POLYGON ((-106.25 34.10535, -106.25 36.00005, -103.75 36.00005, -103.75 34.10535, -106.25 34.10535))",0.0,0.0,0.0,1.0
7,11,"POLYGON ((-103.75 34.10535, -103.75 36.00005, -101.25 36.00005, -101.25 34.10535, -103.75 34.10535))",0.0,0.0,0.6741375169906001,0.3258624830093999
7,12,"POLYGON ((-101.25 34.10535, -101.25 36.00005, -98.75 36.00005, -98.75 34.10535, -101.25 34.10535))",0.0,0.0,1.0,0.0
7,13,"POLYGON ((-98.75 34.10535, -98.75 36.00005, -96.25 36.00005, -96.25 34.10535, -98.75 34.10535))",0.0,0.0,1.0,0.0
7,14,"POLYGON ((-96.25 34.10535, -96.25 36.00005, -93.75 36.00005, -93.75 34.10535, -96.25 34.10535))",0.0,0.0,1.0,0.0
7,15,"POLYGON ((-93.75 34.10535, -93.75 36.00005, -91.25 36.00005, -91.25 34.10535, -93.75 34.10535))",0.0,0.0,1.0,0.0
