,2000,2050,2100
"(1, 19)",28502,42182,49308
"(2, 12)",19344,28629,33464
"(2, 13)",507990,751826,878823
"(2, 19)",296553,438899,513037
"(2, 20)",2907255,4302737,5029551
"(3, 12)",111041,164341,192102
"(3, 13)",332106,491517,574544
"(3, 19)",2963201,4385537,5126338
"(3, 20)",1196236,1770430,2069489
"(4, 10)",3824,5660,6616
"(4, 11)",3751,5552,6490
"(4, 12)",198454,293711,343325
"(4, 13)",1568246,2321003,2713065
"(4, 14)",3077787,4555124,5324571
"(4, 15)",395784,585761,684707
"(4, 16)",987616,1461672,1708576
"(4, 17)",21062,31172,36438
"(4, 18)",128726,190514,222695
"(4, 19)",2060148,3049019,3564056
"(4, 20)",483570,715683,836576
"(5, 7)",5225,7733,9039
"(5, 8)",316927,469052,548284
"(5, 9)",379485,561637,656508
"(5, 10)",53448,79103,92466
"(5, 11)",187078,276875,323644
"(5, 12)",141763,209809,245249
"(5, 13)",982316,1453828,1699407
"(5, 14)",508714,752896,880075
"(5, 15)",487783,721919,843865
"(5, 16)",1051317,1555949,1818778
"(5, 17)",953576,1411293,1649687
"(5, 18)",732385,1083930,1267026
"(5, 19)",757563,1121193,1310584
"(5, 20)",153030,226484,264742
"(6, 4)",27012,39977,46730
"(6, 5)",8552917,12658317,14796546
"(6, 6)",243493,360369,421242
"(6, 7)",2053226,3038775,3552082
"(6, 8)",374239,553873,647433
"(6, 9)",121217,179400,209705
"(6, 10)",117416,173775,203129
"(6, 11)",272958,403978,472217
"(6, 12)",166749,246788,288475
"(6, 13)",3455996,5114874,5978873
"(6, 14)",805289,1191827,1393149
"(6, 15)",511969,757714,885706
"(6, 16)",625725,926073,1082504
"(6, 17)",1171461,1733762,2026628
"(6, 18)",3205585,4744265,5545662
"(6, 19)",971862,1438355,1681321
"(6, 20)",1070142,1583810,1851345
"(6, 21)",68711,101692,118870
"(7, 3)",158,234,273
"(7, 4)",1145327,1695083,1981415
"(7, 5)",2848803,4216228,4928428
"(7, 6)",242067,358259,418775
"(7, 7)",182690,270381,316053
"(7, 8)",82700,122397,143072
"(7, 9)",507877,751658,878627
"(7, 10)",132603,196253,229404
"(7, 11)",260184,385072,450118
"(7, 12)",116953,173091,202329
"(7, 13)",1016336,1504178,1758262
"(7, 14)",490675,726199,848868
"(7, 15)",773046,1144108,1337370
